step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
8450,0,3.9548,3.9401,0.0480,0.1476,2.99e-04,5.22_samples/s
8500,0,4.0889,4.0740,0.0486,0.1485,2.99e-04,5.22_samples/s
8550,0,4.0883,4.0748,0.0478,0.1348,2.99e-04,5.22_samples/s
8600,0,3.7760,3.7625,0.0510,0.1352,2.99e-04,5.23_samples/s
8650,0,3.8763,3.8622,0.0513,0.1410,2.99e-04,5.23_samples/s
8700,0,3.7334,3.7174,0.0498,0.1597,2.99e-04,5.23_samples/s
8750,0,3.6751,3.6600,0.0484,0.1512,2.99e-04,5.23_samples/s
8800,0,3.9812,3.9669,0.0508,0.1432,2.98e-04,5.23_samples/s
8850,0,3.6548,3.6405,0.0525,0.1430,2.98e-04,5.23_samples/s
8900,0,3.5985,3.5853,0.0510,0.1319,2.98e-04,5.23_samples/s
8950,0,3.7970,3.7820,0.0513,0.1500,2.98e-04,5.23_samples/s
9000,0,3.9494,3.9331,0.0530,0.1626,2.98e-04,5.22_samples/s
9050,0,3.7932,3.7784,0.0498,0.1478,2.98e-04,5.22_samples/s
9100,0,3.5104,3.4966,0.0487,0.1383,2.98e-04,5.22_samples/s
9150,0,3.7085,3.6922,0.0497,0.1632,2.98e-04,5.22_samples/s
9200,0,4.0466,4.0320,0.0517,0.1452,2.98e-04,5.23_samples/s
9250,0,3.9880,3.9714,0.0519,0.1663,2.98e-04,5.23_samples/s
9300,0,3.7303,3.7153,0.0510,0.1499,2.97e-04,5.21_samples/s
9350,0,3.5969,3.5812,0.0524,0.1571,2.97e-04,5.20_samples/s
9400,0,3.6267,3.6119,0.0515,0.1476,2.97e-04,5.20_samples/s
9450,0,3.6281,3.6152,0.0507,0.1287,2.97e-04,5.19_samples/s
9500,0,3.8034,3.7894,0.0522,0.1393,2.97e-04,5.19_samples/s
9550,0,3.5214,3.5030,0.0531,0.1837,2.97e-04,5.18_samples/s
9600,0,3.1905,3.1777,0.0525,0.1274,2.97e-04,5.18_samples/s
9650,0,3.3776,3.3612,0.0526,0.1645,2.97e-04,5.18_samples/s
9700,0,3.3170,3.2985,0.0539,0.1847,2.97e-04,5.19_samples/s
9750,0,3.4572,3.4434,0.0528,0.1378,2.97e-04,5.19_samples/s
9800,0,3.6737,3.6610,0.0505,0.1268,2.96e-04,5.19_samples/s
9850,0,3.2370,3.2220,0.0515,0.1493,2.96e-04,5.18_samples/s
9900,0,3.5212,3.5082,0.0539,0.1305,2.96e-04,5.18_samples/s
9950,0,3.4568,3.4428,0.0515,0.1398,2.96e-04,5.18_samples/s
