Epoch,Batch,Total_Loss,CE,KD,Phase,Mag,Mag_Mean,Mag_Std,Phase_Mean,Phase_Std
1,1240,9.519416809082031,9.519416809082031,0.0,0.0,0.0,1.1949877738952637,0.826815128326416,1.5651992559432983,1.1286025047302246
1,1250,9.450069427490234,9.450069427490234,0.0,0.0,0.0,1.1956820487976074,0.8261685967445374,1.5618733167648315,1.133225917816162
1,1260,8.616070747375488,8.616070747375488,0.0,0.0,0.0,1.1926559209823608,0.8313866853713989,1.5662670135498047,1.1307928562164307
1,1270,8.494146347045898,8.494146347045898,0.0,0.0,0.0,1.192286729812622,0.8323062062263489,1.5652509927749634,1.1330127716064453
1,1280,8.858478546142578,8.858478546142578,0.0,0.0,0.0,1.193532109260559,0.8312999606132507,1.563612937927246,1.1342159509658813
1,1290,9.487546920776367,9.487546920776367,0.0,0.0,0.0,1.1959172487258911,0.8282617926597595,1.5623784065246582,1.131736159324646
1,1300,8.908923149108887,8.908923149108887,0.0,0.0,0.0,1.1944973468780518,0.8308274149894714,1.5631234645843506,1.137681245803833
1,1310,8.25557804107666,8.25557804107666,0.0,0.0,0.0,1.1944787502288818,0.831516683101654,1.5670567750930786,1.1301581859588623
1,1320,9.423084259033203,9.423084259033203,0.0,0.0,0.0,1.1989905834197998,0.8256654739379883,1.562582015991211,1.1366668939590454
1,1330,9.026378631591797,9.026378631591797,0.0,0.0,0.0,1.196242332458496,0.8306193947792053,1.56697678565979,1.1368359327316284
1,1340,8.964265823364258,8.964265823364258,0.0,0.0,0.0,1.1964943408966064,0.8306622505187988,1.568339228630066,1.1379128694534302
1,1350,8.683236122131348,8.683236122131348,0.0,0.0,0.0,1.1960108280181885,0.8319585919380188,1.5692917108535767,1.1415047645568848
1,1360,7.637968063354492,7.637968063354492,0.0,0.0,0.0,1.1955618858337402,0.8340414762496948,1.5698572397232056,1.137246012687683
1,1370,9.326898574829102,9.326898574829102,0.0,0.0,0.0,1.201432466506958,0.825755774974823,1.5661510229110718,1.1384061574935913
1,1380,8.978056907653809,8.978056907653809,0.0,0.0,0.0,1.1984282732009888,0.8305297493934631,1.5664018392562866,1.1440856456756592
1,1390,8.603349685668945,8.603349685668945,0.0,0.0,0.0,1.198350429534912,0.8311299085617065,1.5678749084472656,1.1389775276184082
1,1400,8.75640869140625,8.75640869140625,0.0,0.0,0.0,1.2003494501113892,0.8292363286018372,1.5648951530456543,1.1389166116714478
1,1410,8.915323257446289,8.915323257446289,0.0,0.0,0.0,1.2013299465179443,0.828204333782196,1.5655124187469482,1.1421880722045898
